Highest Deletion Frequencies,Deletion Lengths,Highest MH Deletion Frequencies,Highest MHless Deletion Frequencies
15.139177969396858,16.0,15.139177969396858,4.4761098785480655
41.14522353757426,6.0,41.14522353757426,1.3052339447552144
25.761617939620635,2.0,25.761617939620635,5.429192222008306
18.98225169910699,14.0,18.98225169910699,5.981751852045269
48.54642930142414,6.0,48.54642930142414,2.5182912263679325
25.59308176987159,4.0,25.59308176987159,2.3117150388339938
36.91238600534133,6.0,36.91238600534133,1.4880713130934198
37.74072448929843,7.0,37.74072448929843,2.5726033185445205
29.26193649393824,6.0,29.26193649393824,4.103270428410763
17.304380932603035,7.0,17.304380932603035,3.849215620105738
48.73566527517873,4.0,48.73566527517873,7.075262969893746
19.3436740363468,2.0,19.3436740363468,1.91341590461859
100.0,7.0,100.0,0.0
34.061480068726084,8.0,34.061480068726084,1.0765038557981137
23.943491383695637,5.0,23.943491383695637,2.0822533682797912
21.28085469275596,3.0,21.28085469275596,5.145381694630759
22.807417673994284,3.0,22.807417673994284,7.379076825909227
37.06734747421744,3.0,37.06734747421744,1.9334396254213002
19.317917924559598,1.0,19.317917924559598,7.056364661778853
28.52937690149749,9.0,28.52937690149749,6.583297114333504
40.37416342412452,3.0,40.37416342412452,7.757198443579766
18.26349147744754,1.0,18.26349147744754,9.281480114044264
42.80828424852746,12.0,42.80828424852746,2.238612612923842
30.5519964590225,7.0,30.5519964590225,8.466896519591856
35.317661109819525,5.0,35.317661109819525,1.244478481462741
11.419481568069799,12.0,11.419481568069799,7.336619226087899
11.318676734387385,2.0,11.318676734387385,10.543017256963275
15.343360149236329,6.0,15.343360149236329,4.994204747306408
22.09992508499971,7.0,22.09992508499971,3.3740563591309862
15.422360508254796,6.0,15.422360508254796,6.969358632384029
11.370534488843575,2.0,11.370534488843575,7.962824987255401
29.771763822061637,10.0,29.771763822061637,1.0284937485466936
26.53163003030652,7.0,26.53163003030652,10.614953772969656
32.89069359086918,12.0,32.89069359086918,4.082528533801581
13.392126556959724,3.0,13.392126556959724,5.683243931266479
31.71737660581474,6.0,31.71737660581474,1.9405003380662609
42.54314564951655,3.0,42.54314564951655,4.607995921512285
